title,rating,genre,popularity,member,duration,studios,aired
Nonton Isekai Shokudou Sub Indo,7.4,"['Fantasy', 'Gourmet', 'Isekai', 'Slice of Life', 'Workplace']",Popularity: #955,Members: 113019,Duration: 23 min per ep,Studios: SILVER LINK.,"Aired: Jul 4, 2017 to Sep 19, 2017"
Nonton Isekai Shokudou 2 Sub Indo,7.68,"['Fantasy', 'Gourmet', 'Isekai', 'Slice of Life', 'Workplace']",Popularity: #2127,Members: 41441,Duration: 23 min per ep,Studios: OLM,"Aired: Oct 2, 2021 to Dec 18, 2021"
Nonton Isekai Shoukan wa Nidome desu Sub Indo,5.67,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Romance']",Popularity: #1557,Members: 56528,Duration: 23 min per ep,Studios: Studio Elle,"Aired: Apr 9, 2023 to Jun 25, 2023"
Nonton Isekai wa Smartphone to Tomo ni. Sub Indo,6.13,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Romance']",Popularity: #387,Members: 340651,Duration: 24 min per ep,Studios: Production Reed,"Aired: Jul 11, 2017 to Sep 26, 2017"
Nonton Isekai wa Smartphone to Tomo ni. 2 Sub Indo,6.43,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Romance']",Popularity: #1714,Members: 51694,Duration: 23 min per ep,Studios: J.C.Staff,"Aired: Apr 3, 2023 to Jun 19, 2023"
Nonton Isekai Yakkyoku Sub Indo,7.29,"['Fantasy', 'Isekai', 'Medical', 'Reincarnation']",Popularity: #1147,Members: 107458,Duration: 23 min per ep,Studios: Diomedéa,"Aired: Jul 10, 2022 to Sep 25, 2022"
Nonton Ishura Sub Indo,6.64,"['Action', 'Adventure', 'Fantasy', 'Gore', 'Isekai']",Popularity: #2453,Members: 21337,Duration: 23 min per ep,Studios: Passione,"Aired: Jan 3, 2024 to Mar 20, 2024"
Nonton Ishuzoku Reviewers Sub Indo,7.42,"['Anthropomorphic', 'Comedy', 'Erotica', 'Fantasy']",Popularity: #477,Members: 283146,Duration: 23 min per ep,Studios: Passione,"Aired: Jan 11, 2020 to Mar 28, 2020"
Nonton Isshuukan Friends. Sub Indo,7.52,"['Comedy', 'School', 'Shounen']",Popularity: #755,Members: 147645,Duration: 23 min per ep,Studios: Brain's Base,"Aired: Apr 7, 2014 to Jun 23, 2014"
Nonton Isuca Sub Indo,5.97,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Seinen', 'Supernatural']",Popularity: #1547,Members: 67868,Duration: 23 min per ep,Studios: Arms,"Aired: Jan 24, 2015 to Mar 28, 2015"
Nonton It’s My Life Sub Indo,5.68,"['Comedy', 'Fantasy']",Popularity: #6807,Members: 2333,Duration: 14 min,Studios: Creators in Pack,"Aired: Jan 30, 2019"
Nonton Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu Sub Indo,7.52,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Video Game']",Popularity: #414,Members: 299113,Duration: 23 min per ep,Studios: SILVER LINK.,"Aired: Jan 8, 2020 to Mar 25, 2020"
Nonton Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2 Sub Indo,7.21,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Video Game']",Popularity: #1066,Members: 76290,Duration: 23 min per ep,Studios: SILVER LINK.,"Aired: Jan 11, 2023 to Apr 20, 2023"
Nonton Itazura na Kiss Sub Indo,7.41,"['Comedy', 'Romance', 'School', 'Shoujo', 'Workplace']",Popularity: #857,Members: 146140,Duration: 24 min per ep,Studios: TMS Entertainment,"Aired: Apr 5, 2008 to Sep 25, 2008"
